Currency code,Date,Units per USD
EUR,2019-12-19 00:00:00,0.8995
USD,2019-12-18 00:00:00,1.0
JPY,2019-12-18 00:00:00,109.5906
GBP,2019-12-18 00:00:00,0.7652
CHF,2019-12-18 00:00:00,0.9818
AUD,2019-12-18 00:00:00,1.4599
CAD,2019-12-18 00:00:00,1.3157
INR,2019-12-18 00:00:00,70.9807
MYR,2019-12-18 00:00:00,4.1385
SGD,2019-12-18 00:00:00,1.3563
EUR,2019-12-18 00:00:00,0.8997
USD,2019-12-17 00:00:00,1.0
JPY,2019-12-17 00:00:00,109.5771
GBP,2019-12-17 00:00:00,0.7593
CHF,2019-12-17 00:00:00,0.9806
AUD,2019-12-17 00:00:00,1.4598
CAD,2019-12-17 00:00:00,1.3161
INR,2019-12-17 00:00:00,70.9582
MYR,2019-12-17 00:00:00,4.1425
SGD,2019-12-17 00:00:00,1.3557
EUR,2019-12-17 00:00:00,0.8959
USD,2019-12-16 00:00:00,1.0
JPY,2019-12-16 00:00:00,109.4294
GBP,2019-12-16 00:00:00,0.7484
CHF,2019-12-16 00:00:00,0.9827
AUD,2019-12-16 00:00:00,1.4514
CAD,2019-12-16 00:00:00,1.3118
INR,2019-12-16 00:00:00,70.9728
MYR,2019-12-16 00:00:00,4.142
SGD,2019-12-16 00:00:00,1.3544
EUR,2019-12-16 00:00:00,0.8972
USD,2019-12-13 00:00:00,1.0
JPY,2019-12-13 00:00:00,109.5669
GBP,2019-12-13 00:00:00,0.7473
CHF,2019-12-13 00:00:00,0.9828
AUD,2019-12-13 00:00:00,1.4461
CAD,2019-12-13 00:00:00,1.3166
INR,2019-12-13 00:00:00,70.7544
MYR,2019-12-13 00:00:00,4.1345
SGD,2019-12-13 00:00:00,1.3519
EUR,2019-12-13 00:00:00,0.8949
USD,2019-12-12 00:00:00,1.0
JPY,2019-12-12 00:00:00,108.602
GBP,2019-12-12 00:00:00,0.7593
CHF,2019-12-12 00:00:00,0.9822
AUD,2019-12-12 00:00:00,1.4515
CAD,2019-12-12 00:00:00,1.3178
INR,2019-12-12 00:00:00,70.8768
MYR,2019-12-12 00:00:00,4.1595
SGD,2019-12-12 00:00:00,1.3574
EUR,2019-12-12 00:00:00,0.8979
USD,2019-12-11 00:00:00,1.0
JPY,2019-12-11 00:00:00,108.7494
GBP,2019-12-11 00:00:00,0.7607
CHF,2019-12-11 00:00:00,0.9856
AUD,2019-12-11 00:00:00,1.4622
CAD,2019-12-11 00:00:00,1.3238
INR,2019-12-11 00:00:00,70.8005
MYR,2019-12-11 00:00:00,4.1645
SGD,2019-12-11 00:00:00,1.3598
EUR,2019-12-11 00:00:00,0.9029
USD,2019-12-10 00:00:00,1.0
JPY,2019-12-10 00:00:00,108.5763
GBP,2019-12-10 00:00:00,0.759
CHF,2019-12-10 00:00:00,0.986
AUD,2019-12-10 00:00:00,1.4693
CAD,2019-12-10 00:00:00,1.324
INR,2019-12-10 00:00:00,70.9226
MYR,2019-12-10 00:00:00,4.1645
SGD,2019-12-10 00:00:00,1.3598
EUR,2019-12-10 00:00:00,0.9028
USD,2019-12-09 00:00:00,1.0
JPY,2019-12-09 00:00:00,108.4876
GBP,2019-12-09 00:00:00,0.7602
CHF,2019-12-09 00:00:00,0.9895
AUD,2019-12-09 00:00:00,1.4653
CAD,2019-12-09 00:00:00,1.3251
INR,2019-12-09 00:00:00,71.0673
MYR,2019-12-09 00:00:00,4.1602
SGD,2019-12-09 00:00:00,1.3598
EUR,2019-12-09 00:00:00,0.9029
USD,2019-12-06 00:00:00,1.0
JPY,2019-12-06 00:00:00,108.5632
GBP,2019-12-06 00:00:00,0.7612
CHF,2019-12-06 00:00:00,0.9886
AUD,2019-12-06 00:00:00,1.4593
CAD,2019-12-06 00:00:00,1.3176
INR,2019-12-06 00:00:00,71.2489
MYR,2019-12-06 00:00:00,4.1595
SGD,2019-12-06 00:00:00,1.3597
EUR,2019-12-06 00:00:00,0.9014
USD,2019-12-05 00:00:00,1.0
JPY,2019-12-05 00:00:00,108.7885
GBP,2019-12-05 00:00:00,0.7614
CHF,2019-12-05 00:00:00,0.9883
AUD,2019-12-05 00:00:00,1.4648
CAD,2019-12-05 00:00:00,1.3169
INR,2019-12-05 00:00:00,71.2272
MYR,2019-12-05 00:00:00,4.1695
SGD,2019-12-05 00:00:00,1.3614
EUR,2019-12-05 00:00:00,0.9014
